itemname	itemprice	size	brand
*מבצע* גבינת לבאנה 5	40.0		
*מבצע* חזה עוף ארוז	29.9		
*מבצע* חטיפי כרובית	19.9		
*מבצע* כרעיים עוף אר	19.9		
*מבצע* סנט מור	190.32		
*מבצע* צוואר כבש קפו	75.9		
*מבצע* שניצל עוף פרו	39.9		
1.5% דני בטעם וניל 1	2.7		
100יח קשים לשתיה רמי	8.9		
12 עפרונות צבעוניים	9.9		
12עפרונות HB מחודדים	2.9		
12צבעי שמן	7.9		
20 בלונים בשקית/30 י	5.9		
250 אריסה מתוקה ביטו	15.7		
99.9 מתז לניקוי וחיט	13.9		
GIF חמאת בוטנים ושבר	20.9		
GIF חמאת בוטנים חלקה	20.9		
ONE כלב מידמקסי בקר	79.9		
ONE מיני אקטיב בקר 1	59.9		
P.C סוביניון גוורצטר	43.8		
TEN XL פחית 250 מל	4.2		
XL משקה אנרגיה פחית	4.2		
"XL פחית 250 מ""ל"	4.2		
calm קרמה מן דאודורנ	13.9		
cool קרמה מן דאודורנ	13.9		
post פרוטי פבלס דגני	22.1		
א. דיסקריט תחבושות ב	34.9		
א.דיסקריט תחבושות לב	34.9		
א.ש. חטיף לבבות סלמו	29.9		
א.ש. שלוקים לחתול בט	13.9		
אבוקדו	8.8		
אבטיח	2.8		
אביזרי שיער	8.9		
"אבסולוט וודקה 700 מ"""	69.9		
אבקה להכנת ג'לי בטעם	5.9		
אבקה לניקוי ומירוק ב	6.9		
אבקה לניקוי ריח לימו	9.9		
אבקת אפיה מיימונס 10	2.7		
אבקת אפייה עשירייה ר	2.0		
אבקת ג'לטין טהור מיי	12.6		
אבקת גלטין טהור נטו	9.6		
אבקת הלבנה רן 350 גר	17.9		
אבקת הפלא מקציפה לאס	25.9		
אבקת כביסה אריאל קול	39.9		
אבקת כביסה אריאל שוש	69.9		
אבקת כביסה תינוקלין	22.2		
אבקת להכנת סחלב קנור	11.9		
אבקת מרק 400 גר	9.9		
אבקת מרק בטעם עוף אס	12.9		
אבקת מרק בטעם עוף זך	14.9		
אבקת מרק בצל רכיבים	19.9		
אבקת מרק טעם עוף דגש	22.9		
אבקת מרק עוף אמיתי ב	14.9		
אבקת מרק פטריות רכיב	21.9		
אבקת ניקוי עם אקונומ	9.9		
אבקת סוכר 100 גר רמי	1.9		
אבקת סוכר 100גר רמיל	1.9		
אבקת סוכר 500גר רמיל	6.9		
אבקת סוכר שקית 400גר	8.4		
אבקת קולון 101 2.5 ק	25.0		
אבקת רוטב פטריות אסם	3.5		
אג'קס חגיגת הפרחים י	19.9		
אג'קס נוזל לניקוי אס	11.9		
"אגד אלסטי מתמתח 7 ס"""	8.0		
אגוז *קשיו קלוף 250ג	23.9		
אגוז מלך קלוף מיימונ	13.9		
אגוז מלך קלופים 150	12.5		
אגוזי *מלך קלופים 25	20.2		
אגס	10.9		
"אגס כוס""יה"	7.9		
אגס תפוח	13.8		
אגקס טריגר מוס מולטי	13.9		
אגקס טריגר מוס נגד א	13.9		
אגקס ניקוי כללי עוצמ	18.9		
אגקס ספריי עוצמה 7 א	13.9		
אדג' ג'ל גילוח ירוק	19.9		
אדג' ג'ל סגול כהה לע	19.9		
אדום חצי יבש אימפרשן	49.4		
אובלי PEARL פרל שקוף	12.9		
אובלי בלה קטן מנטה ז	8.9		
אוונט זוג מוצצי אייר	40.4		
אוונט מוצצי אייר קול	40.4		
אוזניה בלוטוס עם חוט	89.9		
אוזניות חוטיות עם מי	24.9		
אוכמניות 125גרם	14.9		
אוכמניות כחולות 400	12.9		
אוכמניות כחולות 400ג	20.2		
אול אין אחטיף חלבון	13.9		
אול אין חטיף חלבו בט	13.9		
אול אין חטיף חלבון א	13.9		
אול אין חטיף חלבון ב	13.9		
אול אין חטיף חלבון ס	13.9		
אולוויז אולטרה תחבוש	34.9		
אולוויז דיסקריט תחב	34.9		
אולוויז מגן תחתון לא	18.9		
אולוויז מגן תחתון לו	18.9		
אולוויז מגן תחתון נו	18.9		
אולוויז מגן תחתון פר	18.9		
אולוויז מגני תחתון ל	18.9		
אולוויז מגני תחתון נ	18.9		
אולוויז מגני תחתון פ	18.9		
אולוויז פלטינום לונג	34.9		
אולוויז פלטינום נורמ	34.9		
אולוויז קואטרו פלטינ	34.9		
אולוויז קוואטרו לונג	34.9		
אולוויז קוואטרו לילה	34.9		
אולוויז קוואטרו נורמ	34.9		
אולוויז תחבושות לילה	34.9		
אולוויז תחבושות עבה	9.9		
אולוויז תחבושות פלטי	19.1		
אולטרא פט מעדן בקר ל	5.9		
אולטרא פט מעדן ברווז	5.9		
אולטרא פט מעדן עוף ל	5.9		
אולטרסול ג'ל אלוורה	19.9		
אולטרסול ספריי שקוף	44.9		
אולטרסול תחליב 50 25	44.9		
אולטרסול תחליב קידס	44.9		
אוסובקו ע.ע טרי	69.9		
אוקסיג'ן אבקה להסרת	28.9		
אוקסיג'ן ג'ל ללא אקו	27.9		
אוקסיג'ן ספריי להסרת	17.7		
אוראו בציפוי שוקולד	21.9		
אוראו גולדן 154 גר	9.9		
אורביט אבטיח בקבוקון	10.7		
אורביט בקבוקון 60יח	15.7		
אורביט סוכריות מנטה	9.8		
אורביט פרפשיונל מינט	9.8		
אורביט רפרשרס בטעם ת	12.1		
אורביטול מברשות שיני	29.9		
אורביטול צמד מברשות	19.9		
אורגנו	3.9		
אורגנו רמי לוי 40 גר	9.0		
אורגנו שקית רמילוי	4.9		
אורז אדום 500גר	9.0		
אורז אוסטרלי עגול 1ק	11.7		
אורז אוסטרלי עגול5 ק	50.3		
"אורז בסמטי 1ק""ג רמי"	10.8		
אורז בסמטי וילי פוד	13.7		
אורז בסמטי טילדה 1 ק	19.8		
אורז בסמטי לבן ארוך	10.8		
"אורז בסמטי מלא 1 ק""ג"	14.9		
אורז בסמטי קלאסי 1 ק	14.6		
אורז בסמטי שקדיה 5 ק	49.9		
אורז יסמין 1קג זיפר	10.7		
אורז יסמין קלאסי 1 ק	11.4		
אורז לסושי 1קג	14.9		
"אורז סושי 1 ק""ג סוגת"	12.0		
אורז סיגלה 1ק'ג עגול	10.0		
אורז סיני עם נודלס 1	13.9		
אורז ספרדי 140 גר	13.9		
אורז עגול ריזוטו 1 ק	11.9		
אורז פרסי 1 לי דאווט	9.9		
אורז פרסי טילדה 1קג	15.1		
"אורז פרסי סוגת 1 ק""ג"	11.7		
"אורז קלרוז 1 ק""ג (כ)"	11.4		
"אורז תאילנדי 1 ק""ג ס"	7.9		
אורזו מקוול 500 תומר	4.9		
אוריינט נודלס ביצים	14.9		
אורל בי משחה וויט רע	14.0		
אטבי כביסה 24	6.9		
אטבי כביסה צבעוניים	8.9		
אטבים לסגירה לשמירה	8.9		
אטריות אורז דקות 454	9.9		
אטריות אורז חום טעם	12.7		
אטריות בינוניות אסם	5.8		
אטריות ביצים 300 ג'	7.8		
אטריות ביצים 454ג' (	9.9		
אטריות ביצים דקות 40	8.0		
אטריות ביצים דקות מס	8.9		
אטריות ביצים פפרלדה	14.9		
אטריות ביצים רחבות 4	8.0		
אטריות דקות אסם 400	5.8		
אטריות דקיקות אסם 40	5.8		
אטריות טריות דקות 20	6.8		
אטריות טריות עבות 20	6.8		
אטריות נאמה אודון 20	6.8		
אטריות עגולות דקות	7.8		
אטריות עם גזר 454ג'	9.8		
אטריות עם כוסמת 454	9.9		
אטריות קטניות תבואות	15.1		
אטריות קלסיות אסם 40	5.8		
אטריות ראמן אורז מלא	12.7		
אטריות רחבות 400 גרם	4.9		
אטריות שעועית 250 גר	8.8		
איבריקו צ'אנק 150 גר	19.9		
איולי עגבניות עללחם	12.9		
איולי פלפלים עללחם 2	12.9		
איולי פסטו 250 גר	12.8		
איולי פסטו עללחם 295	12.9		
איולי שום 250 גרם	12.8		
איולי שום לימון עללח	12.9		
איולי שום עללחם 295	12.9		
איטלקי מפולפל 200 ג	14.9		
איטריות נודלס בטעם ב	4.0		
איטריות נודלס בטעם ח	4.0		
איטריות נודלס בטעם ע	4.0		
איטריות נודלס טעם יר	4.0		
איילנד נקטר גויאבה ק	8.9		
איילנד נקטר מנגו קרט	8.9		
אייס בטעם וניל 300 ג	18.9		
אייס חטיפי קרח רמילו	9.9		
"אייס סמירנוף 275 מ""ל"	6.9		
אייס קפה יטבתה 1 ליט	12.3		
אייס קפה יטבתה 350 מ	5.9		
אייס קפה לייט 300 גר	22.9		
אייס קפה שיבולת שועל	13.0		
אייס קפוצינו בבקבוק	13.2		
אייסים * XL 800 מל	4.8		
איירוויק ספריי בריזת	14.9		
איירן 500מל	9.5		
אימפריאל יין רוזה חצ	29.9		
אינסטלטור נוזל לפתיח	26.7		
אינסטלטור פותח סתימו	12.9		
אינסטנט פודינג בטעם	4.9		
אירגונית מעוצבת לאמב	19.9		
אירוויק אלקטריק רפיל	19.7		
אירוויק מילוי למכשיר	19.7		
אירוויק מילוי מכשיר	16.7		
אירוויק מקלות לבנדר	16.7		
אירוויק מקלות ניחוח	16.7		
אירוויק מקלות ריחניי	16.7		
אירוויק ספריי אוטומט	16.7		
אירוויק ספריי בניחוח	14.9		
אירוויק ספריי ריחות	14.9		
אירוויק פרשמטיק מילו	16.7		
אל גאוצ'ו מילנסה דק	15.0		
אל סבון בניחוח ים 1	7.9		
אל סבון בניחוח לבנדר	7.9		
אל סבון בניחוח מאסק	7.9		
אל סבון בניחוח פירות	7.9		
אל סבון ויטמינים קיד	16.9		
אל סבון נוזלי בניחוח	9.9		
אל סבון נוזלי ורוד 1	9.9		
אל סבון נוזלי ורוד כ	9.9		
אל סבון נוזלי ירוק 1	9.9		
אל סבון נוזלי כחול 1	9.9		
אל סבון נוזלי מועשר	14.9		
אל סבון נוזלי מעורב	16.9		
אל סבון נוזלי רגיל ד	14.9		
אל סבון פרחים 2 ליטר	12.9		
אל סבון קמיל בלו 1לי	15.9		
אל סבון קמיל בלו לבן	15.9		
אלביב דרים לונג מסכה	50.5		
אלביב מסכה דרים לונג	26.9		
אלדמע קמיל לפני השינ	18.1		
אלטרנטיב שיבולת שועל	12.6		
אלכוג'ל	8.0		
אלכסנדר בלונד בירה 3	12.9		
אלמוגית ארוכה ואקום	19.9		
אלמוגית בינונית	9.9		
אלמוגית רחבה סירה	9.9		
אלסבון בייבי כיף 1 ל	17.9		
אלסבון בייבי כיף 750	14.9		
אלסבון כיף קמומיל 1	9.9		
אלפרו 1.8% שיבולת שו	13.9		
אלפרו 3.5% שיבולת שו	13.9		
אלפרו בריסטה נוט מיל	13.9		
אלפרו בריסטה סויה 1	14.7		
אלפרו בריסטה שיבולת	14.7		
אלפרו בריסטה שקדים 1	14.7		
אלפרו חלב סויה 1 לי	14.7		
אלפרו חלב סויה ללא ס	14.7		
אלפרו משקה סויה וניל	14.7		
אלפרו משקה סויה שוקו	14.7		
אלפרו משקה שיבולת שו	12.9		
אלפרו משקה שקדים 1 ל	12.9		
אלפרו משקה שקדים 1לי	12.9		
אלפרו סויה לבישול 14	9.9		
אלקטריק רפיל כביסה ב	19.7		
אם אנד אם 150גר בוטנ	15.8		
אם אנד אם 150גר שוקו	15.8		
אמ אנד אמ בוטנים 45	5.6		
אמ אנד אמ שוקולד 45	5.6		
אמירים רזרב מרלו 750	19.9		
אמירים רזרב קברנה 75	19.9		
אמירים רזרב רוזה 750	19.9		
אמנון טרי נקי מגשית	39.9		
אמפנדס בשר 600 גר רמ	12.1		
אנגל פיתות כוסמין 8י	15.9		
אנדיב אדום	14.9		
אנדיב בלגי אמיתי חוו	14.9		
אנטוריום ק. 20	89.0		
אנטי קאלק מסיר אבנית	9.9		
אנטי קאלק נוזל לניקו	9.9		
אנטי קאלק תרסיס לניק	17.7		
אנטרטיק במתז 1 ליטר	9.9		
אנטריקוט בורגר 400גר	28.9		
אנטריקוט דק דק	29.9		
אנטריקוט דקדק טרי אר	239.9		
אנטריקוט פידלוט בקר	209.9		
אנטריקוט צרכני בקר ק	79.9		
אני מאמין	50.0		
אננס * מיובש 160גר ב	14.1		
אננס 500גר רמילוי	20.2		
אננס חתוך תומר 430גר	9.9		
אננס מובחר	9.8		
אננס קפוא 500 גרם	12.9		
אננס רביעיות תומר	11.1		
אנרג'י מאגדת מצופה ט	13.9		
אנרג'י מאגדת מצופה ש	13.9		
אנרג'י מאגדת תחתית ח	13.9		
אנרג'י מאגדת תחתית פ	13.9		
אנשובי ארוך בצנצנת 8	14.9		
אנשובי עגול בצנצנת 8	14.9		
אנשובי צנצנת 60 גרם	12.6		
"אנתוש ספירה 70 מ""ל"	13.9		
אסאדו צרכני קפוא חלק	45.9		
אסטוניש אבקת פלא מסי	19.9		
אסטוניש הלוגן 500 מל	17.9		
אסטוניש טבליות הפלא	14.9		
אסטוניש למטבח 500 מל	17.9		
אסטוניש מרסס ארומטיק	13.9		
אסטוניש מרסס פלא ואק	13.9		
אסטוניש מרסס שמשות 7	11.9		
אסטוניש משחת הפלא עו	26.9		
אסטוניש ספריי רסס ונ	11.9		
אסטוניש פרימיום מברי	13.9		
אסטוניש פרימיום מרסס	13.9		
אסטוניש פרימיום תפוז	13.9		
אסטוניש פרמיום ג'ל א	11.9		
אסטייט יין רוזה 750מ	64.9		
אסטייט מרלו 750 מל	64.9		
אסטייט קברנה סוביניו	64.9		
אסם עוגיות במילוי קר	9.9		
אסם ציפס גלי 45 גר	3.9		
אספרגוס א.אדמה	27.9		
אספרגוס שלם מקולף ול	10.9		
