itemname	itemprice	size	brand
'גרנולה קראנץ	17.9		
'פקאן טבעי במשקל תפז	119.0		
10 תחבושות לשתן אקסטרה	19.5		
100 קיסמי שיניים עם חוט	15.9		
10מ.רצפה בית מלון VIVI	12.9		
10מ.רצפה ניחוח מרכך VIVI	12.9		
10מטליות רצפה לחות ניקול	11.9		
10סוללות מקס אלקליין AAA	19.9		
10תח.ספיגה לילה בנות4-7	36.9		
10תח.ספיגה לילה בנים4-7	36.9		
11 חיתולי שחיה האגיס L	31.9		
12 ביצי משק L שופרסל	14.09		
12 ביצי משק M שופרסל 12	13.0		
12 האגיס חיתולי שחיה S	31.9		
12 תחבושות לשתן נורמל	19.5		
12ביצי חופש אורגני L	26.9		
12ביצים אורגנ+L.אומגה3	31.9		
12ביצים אורגניות+Mאומגה3	31.9		
12ביצים חופש אורגניות M	25.9		
14 תחתונים לבריחת שתן L	79.6		
14 תחתונים לבריחת שתן XL	79.6		
14תחתון סופג לאישה XL	78.9		
16 תחתון סופג אישה S/M	78.9		
16 תחתון סופג לאישהL	78.9		
16טמפו.קוטקס מוליך נורמ.	21.9		
16טמפונ.קוטקס מוליך מיני	21.9		
16טמפונ.קוטקס מוליך סופר	21.9		
2 ב1- שמפו ומרכך 700מ ME	11.9		
2 מברשות מרידול אקספורט	29.9		
2 מברשות מרידול סופט	29.9		
2 מברשות קולגייט אופטיק	27.9		
2 מברשות קולגייט סופט	27.9		
2 מברשות קולגייט סנסטיב	27.9		
20 תחבושות לילי ללילה	16.9		
200 קיסמי שיניים פלסטיק	9.9		
24 תחבושות לילי נורמל+	16.9		
29 טיטולים פרימיום שלב 6	29.9		
2ב1שמפו+מרכך נגד קשקש700	16.9		
2כרית קרצוף סיבי נירוסטה	12.5		
2מב.שיניים אלמקס לילד0-3	19.9		
2מב.שיניים אלמקס לילד3-6	19.9		
2מברשות ג'ורדן לילדים0-2	17.9		
2מברשות ג'ורדן לילדים3-5	17.9		
2מברשות סלים סופט פחם	27.2		
2מברשות סנסודיין דואלק	23.9		
2מברשות קולגייט 360 וייט	27.9		
2מברשות קולגייט 360 פחם	27.9		
2מט.מיקרופייבר גדול VIVI	15.9		
2רדידי אלומיניום 7.5*30מ	11.9		
3 ב1- לגבר 700מ ME	11.9		
