itemname	itemprice	size	brand
"""NOY"" ברנדי ארספל 5 שנים 500 מ""ל"	90.2		
(60) DIGEST פרוביוטיק	99.9		
(60)BASIC קרנמיקס כשר	91.9		
1 קמח לפיצה PZ2 ורוד	14.5		
1.3ליטר קומקום זכוכי	119.0		
"100 מ""ג 5- HTP"	76.9		
100 שקיות זילוף חד פעמי	49.9		
20 מפיות מודפסת	9.7		
25 יח ניקול שקיות אשפה עם ידיות	29.9		
350 עוגיות אוזניים עם קינמון גר	16.9		
3D WHITEמשחת שיניים אורל בי לבן בוהק	31.9		
3D WHITEמשחת שיניים אורל בי לובן מהודר	31.9		
4.05 ביוקאפ דליקטו מהיר צבע שוקולד ערמו	63.9		
6 לחמניות בשקית	12.5		
7 DAYS BAKE ROLLS צמינים בטעם מלח 80 ג	8.9		
71 שלגון מגנום דאבל CHERRY	12.9		
8OZ כוסות מנייר במבוק 50 יחידות	9.9		
AA דורסל סימפלי סוללות שמינייה	28.9		
AA סוללה שנפ מארז 10 יחידות	21.9		
AA סוללות מקס אלקליין עשירייה	31.9		
AAA דורסל סימפלי סוללות שמינייה	28.9		
AAA סוללה שנפ מארז 10 יחידות	21.9		
AAA סוללות מקס אלקליין עשירייה	31.9		
ALL IN 1 קנקן בריטה סטייל לסינון מים+פיל	199.9		
Agnesi רוטב עגבניות אראביאטה 400 גר	17.9		
Agnesi רוטב עגבניות ובזיל 400 גר	17.9		
Agnesi רוטב עגבניות נפוליטנה 400 גר	17.9		
"BCG שוקולד מריר ללת""ס 100 גר"	22.9		
BEFIT בסיס לפיצה קיטו 2*105 גרם	59.9		
BEFIT לחמניות בורגר קיטו 4*50 גרם	39.9		
BEFIT פוקצה קיטו 4*45 גרם	32.9		
BEFIT פסטה קיטו פוסילי 200 גרם	35.9		
BEFIT קרואסון חמאה קיטו 6*40 גרם	59.9		
BEST OF RIGAפילה סלמון במיץ טבעי 200 גר	11.9		
BEST OF RIGAפילה סלמון ברוטב עגבני 200 ג	11.9		
BF מלפפון רבעים רצועות 670 גרם	19.3		
BIO כביסכל אלגנס 2 ליטר	44.9		
BIO כביסכל ארומטי 2 ליטר	44.9		
BIO כביסכל בייבי 2 ליטר	44.9		
BIO כביסכל נוזל אורנים 1 ליטר	21.9		
BIO כביסכל סופט קייר 2 ליטר	44.9		
BIO כביסכל ספא 2 ליטר	44.9		
BIO כביסכל ספורט 2 ליטר	46.9		
BIO כביסכל רוז 2 ליטר	44.9		
BISMAK דובשניות מצופות סוכר 240 גר	5.5		
C&T סלסה מדיום אורטגה 453 גרם	29.9		
CALLIPO-פילה טונה במיי מלח(צנצנת) 200	49.9		
CALMמרכך כביסה מקסימה מרוכז 1 ל	18.9		
CAPE HERBS מטחנה הימלאיה ורוד 390גר	24.9		
"CAPE HERBS מטחנה מלח ופלפל 310ג""ר"	24.9		
"CAPE HERBS מטחנה מלח ים אטלנטי 360ג""ר"	24.9		
CAPE HERBS תבלינים לברבקיו מעושן100גר	25.9		
COCO XIM מי קוקוס 1 ליטר	18.9		
COCO XIM מי קוקוס אורגני 1 ליטר	21.9		
"COCO XIM קרם קוקוס אורגני 330 מ""ל"	12.9		
COLAVITA ארבוריו 500 גרם	21.9		
COMP.HAMMAEMELIS	79.0		
CQC מיכל גז עד 60 ליטר נוסף	118.9		
CQC שירות החלפה גז 60 ליטר	59.9		
CURLY קרם פרופשיונל לחות לתלתלים 400	27.9		
DAVIA מחית עגבניות 680 גר	12.9		
DAY TO DAY מחבת 20 ס	69.9		
DAY TO DAY מחבת סגול	84.9		
DW שלישיית שחור לבן למדיח 1 ליטר	69.9		
ECOLOVE מסיכה לשיער צבוע ויבש מאוד 350 מ	46.9		
ECOLOVE מרכך לשיער צבוע ויבש מאוד 500 מל	36.9		
ECOLOVE סבון ידיים לעור יבש 500 מל	26.9		
ECOLOVE שמפו לשיער צבוע ויבש מאוד 500 מל	36.9		
"ELVIVE מרכך היאלרונית 500 מ""ל"	20.9		
"ELVIVE מרכך לחיזוק סיב השערה 400 מ""ל"	20.9		
"ELVIVE מרכך מועשר בשמנים להזנה 500 מ""ל"	20.9		
"ELVIVE מרכך מטהר לשורשים וקרקפת 500 מ""ל"	20.9		
"ELVIVE מרכך מטפח לשיער צבוע 500 מ""ל"	20.9		
"ELVIVE מרכך משקם לשיער ארוך 500 מ""ל"	20.9		
"ELVIVE שמפו לחיזוק סיב השערה 500 מ""ל"	20.9		
"ELVIVE שמפו מועשר בשמנים להזנה 500 מ""ל"	20.9		
"ELVIVE שמפו מטהר לשורשים וקרקפת 500 מ""ל"	20.9		
