item_name	itemprice
"""סופר יודה"" שזיף 200"	5.9
"""סנקי"" חטיף תירס מקלות מתוקים 80 גרם"	4.9
'דבש לחיץ 503ג	22.9
*מבצע* אורז בסמטי גו	54.9
*מבצע* אטריות עם תרד	7.9
*מבצע* גלידת שמנת מו	29.9
*מבצע* גרעיני תירס ש	9.9
*מבצע* דפי אורז 400	11.9
*מבצע* טחינה גולמית	24.5
*מבצע* כוסות ליין 50	2.9
*מבצע* מטחנת מלח  אק	16.9
*מבצע* סרוולט הונגרי	34.9
*מבצע* שניצל טבע 1 ק	34.9
*מבצע* שניצל עוף פרו	54.9
1.2  מסקרפונה עם קרמל מלוח	19.9
1.2 מסקרפונה עם עוגיות  ונטיפי שוקולד חלב	24.9
1.2 מסקרפונה עם תות ונטיפי שוקולד חלב	24.9
1.8%שומן  NOT MILK א	14.9
12 נרות ג'מבו אדום +	4.9
18 יחידות ביצים | מו	18.0
2 סוללות C פלוס פאוור	29.9
2 תבניות אלומיניום עם ידיות סנו סושי XL	12.9
20 תחבושות לילי ללילה	17.9
200  גרםvalio-חמאה	13.9
24 תחבושות לילי נורמל+	17.9
24K יין בלו נאן רוזה	59.9
250 אריסה מתוקה ביטו	14.9
3.5%שומן  NOT MILK א	14.9
32 טמפוני קוטקס סופר	24.9
4 סכיני גילוח ג'ילט פיוזן	49.9
4 תבניות L סנו סושי אקסטרה חזקות 26*36	9.9
4 תבניות אלומיניום עם ידיות סנו סושי L	12.9
46טיטולים פרימיום שלב 3	39.9
50 להבונים בשקית	10.9
52מגן תחתון קוטקס L	24.9
6 חליות במתיקות מעוד	18.9
6 מטריות חרוב	16.9
7 תבניות אלומיניום אינגלישקייק EXTRA חזקות	11.9
ARGANIA מסיכה לשיער	41.9
ARGANIA שמפו קיק ללא	37.9
B&D חמאת בוטנים טבעי	15.9
BIO משקה סויה עם תות	7.9
BLU  משקה אנרגיה פחי	5.0
BLU משקה אנרגיה דיי	5.0
BLU משקה אנרגיה ענבי	6.0
DAAWATאורז יסמין 1 ק	12.9
DEEP חטיף ציפס ברביק	15.9
DEEP ציפס שמנת בצל ל	15.9
Deliceגבינת קממבר יו	23.9
Dחלב 3% מועשר וויטמי	8.9
FUZE-T בטעם פירות יער ונענע זירו 1.5 ליטר	9.9
FUZE-T לימון נענע 1.5 ליטר	9.9
FUZE-T ענבים 1.5 ליטר	9.9
GO  משקה חלבון מלון	14.9
GO יוגורט אוורירי בט	7.9
GO יוגורט יופלה תות	6.9
GOיוגורט יופלה  פירו	6.9
GOיוגורט סמיך 0.4% ק	7.9
GOמעדן חלב בטעם קרמל	5.9
Go משקה חלב וניל 340	9.9
HP ברביקיו דבש	18.9
HP ברביקיו קלאסי	18.9
"ICE נמס וניל 250 מ""ל"	8.0
"ICE נמס קלאסי 250 מ"""	8.0
"IMPRESSION פטיט סירה 150 שנה 750 מ""ל"	39.9
IPA בירה שפירא 330 מ	14.9
"K רב קוטל חרקים 500 מ""ל"	24.9
K-300 קוטל חרקים מיידי ומתמשך	12.9
"K-333 קוטל חרקים 750 מ""ל"	32.9
K-400 קוטל חרקים קטן	19.9
"K500 קוטל חרקים 400 מ""ל"	23.9
L כפפות ניטריל שחור טאצ	14.9
L כפפות ניטריל שחורות פארמה אייד 100 יח	16.9
M כפפות ניטריל שחור טאצ	14.9
MB מסיכה לשיער יסמין250מ	27.9
MB מרכך לשיער רגיל לברק	24.9
"MB שמפו לשיער SM 500 מ""ל"	24.9
MBתחליב רחצה סחלבים600מ	14.9
MUTTI קוביות עגבניות	19.9
"NO""1 מנקה אסלות"	7.9
OZ 4 כוסות- קרטון	4.7
"PHARMAX קרם חמצן 9% 60 מ""ל"	5.9
POST דגני פרוטי פבלס	22.9
POST דגני רייזן ברן	29.9
SERA חציל קלוי על הא	13.9
TEREA אמבר חפיסה	33.0
TEREA ברונז חפיסה	33.0
TEREA סגול חפיסה	33.0
TEREA סיינה חפיסה	33.0
TNX כביסה מרכך כביסה	23.9
TNX מרסס חלונות פרש	12.9
TNX מרסס מנקה ריפודי	24.9
TNX ניילון נצמד 150/45	39.9
TNX נייר אפיה בגליל  20 מטר	19.9
"TNX רדיד אלומיניום 30 מטר רוחב 45 ס""מ"	39.9
TNX תבנית גסטרונום ביתי 2 יחידות	13.9
TNX תבנית חלה 4 יחידות	13.9
TNX תבנית עוגה 4 יחידות	13.9
TNX תבנית רוסטר בינוני 4 יחידות	13.9
TNX תבנית רוסטר מדורג 3 יחידות	13.9
TNX תרסיס לניקוי חלו	19.9
TODAY חטיף חלבון פאי	13.9
TODAY חטיף חלבון קרם	13.9
TODAY חטיף חלבון קרמ	13.9
ULTRA משקה אנרגיה מו	9.9
"V.S הנסי 700 מ""ל באריזת מתנה"	149.9
WOKרוטב צילי  מתוק ד	17.9
XL TEN משקה אנרגיה ב	5.0
"XL פחית 250 מ""ל"	5.0
XL פחית אפרסק משמש 2	5.0
XL פחית מנגו אננס 25	5.0
XXL ניקול שקיות אשפה עם ידיות 30 יחידות	32.9
YOLO מעדן שוקולד חלב	5.9
YOLO מעדן שוקולד לבן	5.9
YOLO מעדן שוקולד מרי	5.9
YOLO מעדן שכבות שוקו	5.9
YUKKI גלידה פלומביר אסקימו עם אגוזים 65ג	6.9
ZERO ספרייט 1.5 ליטר	9.9
ZERO פיוז טי אפרסק 1	9.9
ZERO פיוז טי גרין לי	9.9
s m k kind sive	9.9
א'גקס ספריי אמבטיה	15.9
א'גקס ספריי לניקוי כללי	12.9
"א'גקס ספריי עוצמת ה7 טריגר אקונומיקה 500 מ""ל"	12.9
א.פרש מי פה	16.9
א.פרש שלישיה עדין	21.9
