item_name	itemprice
1.8%שומן  NOT MILK א	15.9
1ליטרPrimavena - משק	16.9
200  גרםvalio-חמאה	19.9
24K יין בלו נאן רוזה	64.9
3.5%שומן  NOT MILK א	15.9
439גרם  CHI-CHISמטבל	22.9
6 מטריות חרוב	19.9
750 מלINSPIRE  יין ק	84.9
ARGANIA מסיכה לשיער	45.9
ARGANIA שמפו קיק ללא	41.9
Aussie Lemonadeמשקה	9.9
B&D חמאת בוטנים טבעי	16.9
BIO משקה סויה עם תות	7.9
BIOכביסכל 2 ליטר ביי	44.9
BLU  משקה אנרגיה פחי	5.9
BLU משקה אנרגיה דיי	5.9
BLU משקה אנרגיה ענבי	5.9
CHI-CHIS מטבל סלסה ב	22.9
CHIPS  וופל ציפס קרי	21.9
DAAWATאורז יסמין 1 ק	13.9
DEEP חטיף ציפס ברביק	24.9
DEEP ציפס שמנת בצל ל	24.9
Deliceגבינת קממבר יו	25.9
Dחלב 3% מועשר וויטמי	9.9
ELVIVE שמפו מטהר לשו	20.9
ELVIVE שמפו משקם לשי	20.9
Fun Waterשוופס  אפרס	7.9
GO  משקה חלבון מלון	14.9
GO יוגורט אוורירי בט	7.3
GO יוגורט יופלה תות	7.5
GOיוגורט יופלה  פירו	7.5
GOיוגורט סמיך 0.4% ק	7.5
GOמעדן חלב בטעם קרמל	6.9
Go משקה חלב וניל 340	10.9
HP ברביקיו דבש	21.9
HP ברביקיו קלאסי	21.9
"ICE נמס וניל 250 מ""ל"	10.9
"ICE נמס קלאסי 250 מ"""	10.9
IPA בירה שפירא 330 מ	17.9
IPA פחית בירה מלכה ה	16.9
JIF חמאת בוטנים 454	19.9
KH-סופר  נוסחה חדשני	24.9
KHסופר קלינר -7 למטב	18.9
MUTTI קוביות עגבניות	16.9
MUTTIרוטב לפסטה מעגב	16.9
"NM מי סודה 250 מ""ל"	7.9
Nadias  שניצל אפונה	24.9
Nocciolata  ממרח אגו	23.9
PAM תרסיס שמן זית 14	20.9
PAM תרסיס שמן קנולה	20.9
POST דגני פרוטי פבלס	26.9
POST דגני רייזן ברן	27.9
PRO לחם אנגל 500 גרם	23.9
SERA חציל קלוי על הא	14.9
TNX מרסס חלונות פרש	14.9
TNX מרסס מנקה ריפודי	26.9
TNX תרסיס לניקוי חלו	21.9
TODAY חטיף חלבון פאי	15.9
TODAY חטיף חלבון קרם	15.9
TODAY חטיף חלבון קרמ	15.9
Tilda   אורז פרסי טי	17.9
ULTRA משקה אנרגיה מו	9.9
Ultra Gold Zמשקה אנר	9.9
Ultra Strawberry Zer	9.9
WOKרוטב צילי  מתוק ד	17.9
XL TEN משקה אנרגיה ב	6.9
XL פחית אפרסק משמש 2	6.9
XL פחית מנגו אננס 25	6.9
YOLO מעדן שוקולד חלב	6.2
YOLO מעדן שוקולד לבן	6.2
YOLO מעדן שוקולד מרי	6.2
YOLO מעדן שכבות שוקו	6.2
ZERO פיוז טי אפרסק 1	11.9
ZERO פיוז טי גרין לי	11.9
tea ספרינג בטעם אפרס	6.9
voss petמים טבעיים 5	11.9
win חטיף חלבון קרם ח	14.9
win חטיף חלבון קרם ק	14.9
אב.כביסה פרסיל סופרה	15.9
אבוקדו ארוז בשל	25.9
אבקת אפיה	3.9
אבקת חלבון GO עוגיות	149.0
אבקת חלבון בטעם וניל	159.9
אבקת חלבון בטעם שוקו	159.9
אבקת כביסה מקסימה סנ	29.9
אבקת כביסה פרסיל קול	15.9
אבקת כביסה קולון 101	17.9
אבקת כביסה קומפקט מק	17.9
אבקת סוכר אריזת פטנט	17.9
אבקת קקאו עלית 150 ג	15.9
אבקת קרי	10.9
אבקת שום 88 גרם	32.9
אברפלדי 12 שנה 700 מ	249.9
אגוז מלך טחון מימונס	16.5
אגוז מלך קלוף מימונס	14.9
אגוזי 45 גרם	6.5
אגוזי מלך קליית גת 1	22.9
אגוזי קשיו מטוגנים ק	23.9
אגוזי קשיו קלויים קל	23.9
אגקס לניקוי חלונות ט	17.9
אדג מחסנית סכיני גיל	49.9
אדג מכשיר + סכין גיל	69.9
אדממה אורגני 400גרם	13.9
אוטלי משקה שבולת שוע	17.9
אוטלי משקה שיבולת שו	17.9
אוטן תרסיס טרופי 100	24.9
אויאן מים 500	8.9
אוכמניות ארוז 125 גר	19.9
אוכמניות כחולות מוקפ	17.9
אול אין ח.חלבון סופט	14.9
אול אין חטיף חלבון ב	14.9
אול אין חטיף חלבון ו	14.9
אול אין חטיף חלבון ק	14.9
אול אין חטיף חלבון ש	14.9
אולוויז מגן תחתון דו	24.9
אולוויז תחבושות לילה	19.9
אולוויז תחבושות נורמ	19.9
אולוויז תחבושות פלטי	24.9
אולטרא פט מעדן סלמון	5.9
אולטרסול 50/200 תרסי	64.9
אולטרסול ספריי שמן ג	54.9
אולטרסול קידס ספריי	64.9
אוללה מים מוגזים בטע	6.9
אומגה L/12 ביצים	26.9
אוראו וניל 176 גרם ב	12.9
אוראו וניל בדצ 154 ג	9.9
אוראו מיני כוסות בטע	8.9
אורביט פרופשיונל ספי	14.9
אורביט פרופשיונל פפר	14.9
אורביט רפרשרס אבטיח	15.9
אורביטול משחת שיניים	13.9
אורגני L/12  ביצים	28.9
אורז אדום סוגת  500	9.9
אורז בסמטי  האופה 1	13.9
אורז בסמטי טילדה 1	22.9
אורז בסמטי מובחר דאו	15.9
אורז בסמטי מלא סוגת	16.9
אורז בסמטי קלאסי סוג	16.9
אורז יסמין טילדה 1ק	20.9
"אורז יסמין סוגת 1 ק"""	14.9
אורז לסושי קושיהיקאר	16.9
אורז מיקס סוגת  500	9.9
אורז מלא אחד אחד סוג	12.9
"אורז עגול מלא 1 ק""ג"	13.9
"אורז עגול קלרוז 1 ק"""	13.9
אורז פרסי אחד אחד סו	14.9
אורז ריזוטו סוגת 500	10.9
אורז ריזוטו עגול סוג	13.9
"אורז תאילנדי 1 ק""ג"	10.9
אזניות TWS	114.9
אטריות אורז דקות 300	10.9
אטריות אורז דקות 454	11.9
אטריות אורז רחבות מא	10.9
אטריות אורז תירס ללא	16.9
אטריות טריות דקות מז	7.9
אטריות טריות עבות מז	7.9
אטריות כוסמין ביצים	17.9
אטריות כוסמין וביצים	17.9
אטריות ללא גלוטן ברי	17.9
אטריות מקרוני עם גבי	13.9
אטריות עם עגבניה 454	12.9
אטריות צבעוניות לקיש	13.9
איגלו סטיקס כרמית 80	6.0
איטריות שעועית 250 ג	9.9
"איילנד גויאבה 300 מ"""	6.9
"איילנד מנגו 300 מ""ל"	6.9
איילנד נקטר גויאבה 1	12.9
אינטואישן סנסטיב נשי	34.9
איקרה ורודה מונטה קר	24.9
אירוויק ספריי ניחוח	16.9
אלמנדוס ספרדי קליית	11.9
אלפרו בריסטה שיבולת	9.9
אלפרו משקה סויה NOT	15.9
אלפרו משקה שיבולת שו	17.9
אלפרו משקה שקדים ללא	17.9
אלפרו משקה שקדים ללס	15.9
אלפרו סויה לבישול 14	12.6
אלפרו.משקה שיבולת שו	17.9
אם אנד אם בוטנים 45	7.9
אם אנד אם שוקולד 45	7.9
אמיצלי גלילי וופל 15	19.9
אנגל כוסמין וחיטה מל	18.9
אנטריקוט דקדק	29.9
אננס מוקפא סנפרוסט	17.9
אנרגי מאגדת מצופה טע	15.9
אנרגי מאגדת תח. פסק	14.9
אנרגי מאגדת תחתית חל	15.9
אנרגי פריכיות חלבון	12.9
אנשובי ארוך בשמן זית	18.9
אנשובי עגול בצנצנת	16.9
אסטוניש למטבח ניחוח	16.9
אסטוניש לניקוי אמבטי	16.9
אסטוניש פלא של אקונו	16.9
אסטוניש פרימיום משחה	27.9
אסם אבקת רוטב פטריות	5.5
אסם אבקת רוטב צלי לב	5.5
אסם אטריות בינוניות	9.9
אסם אטריות דקות 400ג	9.9
אסם אטריות דקיקות 40	9.9
אסם אטריות קלאסיות 4	9.9
אסם ביגלה שטוח שמשם	13.9
אסם בייגלה טבעות שומ	16.9
אסם בייגלה מקלות מלו	16.9
אסם בייגלה שטוחים מצ	16.9
אסם בייגלה שטוחים עם	13.9
אסם בייגלה שטוחים שו	13.9
אסם בייגלה שמיניות ל	18.9
אסם בייגלה שמיניות ק	16.9
אסם גלי משמש צבעים ט	7.9
אסם גלי פטל צבעים טב	7.9
אסם גלי תות שדה צבעי	7.9
אסם זוג מרק נמס אפונ	7.9
אסם זוג מרק נמס ירקו	7.9
אסם זוג מרק נמס פטרי	7.9
אסם חטיפי פריכונים א	9.9
אסם חטיפי פריכונים ט	9.9
