item_name	itemprice
"""סנקי"" חטיף תירס מקלות מתוקים 80 גרם"	4.0
1.2  מסקרפונה עם קרמל מלוח	26.9
1.2 מסקרפונה עם עוגיות  ונטיפי שוקולד חלב	26.9
1.2 מסקרפונה עם תות ונטיפי שוקולד חלב	26.9
1.8%שומן  NOT MILK א	15.7
2 סוללות C פלוס פאוור	23.9
2 תבניות אלומיניום עם ידיות סנו סושי XL	10.0
200  גרםvalio-חמאה	16.9
24K יין בלו נאן רוזה	55.4
3 מברשות שיניים אורל בי קלאסיק.	15.1
3.5%שומן  NOT MILK א	15.7
4 סכיני גילוח ג'ילט פיוזן	70.5
4 תבניות L סנו סושי אקסטרה חזקות 26*36	15.1
4 תבניות אלומיניום עם ידיות סנו סושי L	10.0
439גרם  CHI-CHISמטבל	19.1
7 תבניות אלומיניום אינגלישקייק EXTRA חזקות	15.1
"A.R מטרנה בד""ץ 700 גרם"	81.6
B&D חמאת בוטנים טבעי	14.1
BIO משקה סויה עם תות	7.0
BIOכביסכל 2 ליטר ביי	35.9
BREEZE תחבושות אקסטרה 10 יח	16.9
BREEZE תחבושות אקסטרה פלוס 8 יח	16.9
BREEZE תחבושות מקסי 8 יח	16.9
BREEZE תחבושות נורמל 12 יח	16.9
CHI-CHIS מטבל סלסה ב	19.1
"DAY TO DAY מחבת סגול 24 ס""מ 1/6"	69.9
Deliceגבינת קממבר יו	23.1
Dחלב 3% מועשר וויטמי	8.6
ELVIVE שמפו משקם לשי	18.9
"FUZE- T בטעם ZERO אפרסק 500 מ""ל"	7.6
FUZE-T בטעם פירות יער ונענע זירו 1.5 ליטר	8.8
FUZE-T בטעם תפוח וקינמון 1.5 ליטר	8.8
FUZE-T לימון נענע 1.5 ליטר	8.8
FUZE-T ענבים 1.5 ליטר	8.8
GO  משקה חלבון מלון	13.9
GO יוגורט אוורירי בט	6.4
GO יוגורט יופלה תות	6.4
GOיוגורט יופלה  פירו	6.4
GOיוגורט סמיך 0.4% ק	6.4
GOמעדן חלב בטעם קרמל	6.3
Go משקה חלב וניל 340	9.4
"ICE נמס וניל 250 מ""ל"	7.9
"ICE נמס קלאסי 250 מ"""	7.9
JIF חמאת בוטנים 454	20.1
"K רב קוטל חרקים 500 מ""ל"	23.2
K-300 קוטל חרקים מיידי ומתמשך	18.9
"K-333 קוטל חרקים 750 מ""ל"	27.9
K-400 קוטל חרקים קטן	11.9
"K500 קוטל חרקים 400 מ""ל"	23.2
KH-סופר  נוסחה חדשני	25.2
KHסופר קלינר -7 למטב	11.9
"NM מי סודה 250 מ""ל"	4.1
"NO""1 מנקה אסלות"	7.0
PAM תרסיס שמן זית 14	14.9
PAM תרסיס שמן קנולה	14.9
POST דגני פרוטי פבלס	25.2
POST דגני רייזן ברן	26.2
RC קולה שישיית   1.5 ליטר	28.7
SERA חציל קלוי על הא	14.1
TNX מרסס חלונות פרש	13.1
TNX מרסס מנקה ריפודי	25.2
TNX ניילון נצמד 150/45	42.3
TNX נייר אפיה בגליל  20 מטר	20.1
"TNX רדיד אלומיניום 30 מטר רוחב 45 ס""מ"	40.3
TNX תבנית גסטרונום ביתי 2 יחידות	15.1
TNX תבנית חלה 4 יחידות	15.1
TNX תבנית עוגה 4 יחידות	15.1
TNX תבנית רוסטר בינוני 4 יחידות	15.1
TNX תבנית רוסטר מדורג 3 יחידות	15.1
TNX תרסיס לניקוי חלו	20.1
XL פחית אפרסק משמש 2	4.7
XL פחית מנגו אננס 25	4.7
YOLO מעדן שוקולד מרי	5.7
YUKKI גלידה פלומביר אסקימו עם אגוזים 65ג	7.9
