item_name	itemprice	chain
"""סופר יודה"" שזיף 200"	19.9	Super Yehuda
"""סופר יודה"" שזיף 200"	5.9	city market
"""סנקי"" חטיף תירס מקלות מתוקים 80 גרם"	4.0	Hazi Hinam
"""סנקי"" חטיף תירס מקלות מתוקים 80 גרם"	5.0	Rami Levi
"""סנקי"" חטיף תירס מקלות מתוקים 80 גרם"	5.7	Tiv Taam
"""סנקי"" חטיף תירס מקלות מתוקים 80 גרם"	4.9	Yellow
"""סנקי"" חטיף תירס מקלות מתוקים 80 גרם"	4.9	city market
'דבש לחיץ 503ג	26.0	Super Yehuda
'דבש לחיץ 503ג	22.9	city market
'כוס קריסטל יהלום 50	8.9	Super Yehuda
'כוס קריסטל יהלום 50	12.9	Tiv Taam
'כפות שקופות 50יח	9.9	Super Yehuda
'כפות שקופות 50יח	15.5	Tiv Taam
'כפות שקופות 50יח	10.0	Yellow
'כפות שקופות 50יח	10.0	Yohananof
'כפיות שקוף עבה 50יח	9.9	Super Yehuda
'כפיות שקוף עבה 50יח	15.5	Tiv Taam
'כפיות שקוף עבה 50יח	10.0	Yellow
'כפיות שקוף עבה 50יח	10.0	Yohananof
'פקאן טבעי במשקל תפז	119.0	Shufersal
'פקאן טבעי במשקל תפז	119.0	Yellow
*מבצע* 5% ג. שמנת טב	32.0	Yellow
*מבצע* 5% ג. שמנת טב	32.0	Yohananof
*מבצע* אורז בסמטי גו	36.9	Yellow
*מבצע* אורז בסמטי גו	54.9	city market
*מבצע* אטריות עם תרד	9.9	Yohananof
*מבצע* אטריות עם תרד	7.9	city market
*מבצע* אפונה וגזר יו	7.9	Yellow
*מבצע* אפונה וגזר יו	7.9	Yohananof
*מבצע* אפונה עדינה 6	7.9	Yellow
*מבצע* אפונה עדינה 6	7.9	Yohananof
*מבצע* במיה 600 גרם	7.9	Yellow
*מבצע* במיה 600 גרם	7.9	Yohananof
*מבצע* ג. שמנת  שמיר	32.0	Yellow
*מבצע* ג. שמנת  שמיר	32.0	Yohananof
*מבצע* ג. שמנת זיתים	32.0	Yellow
*מבצע* ג. שמנת זיתים	32.0	Yohananof
*מבצע* גאודה עם פטרי	120.0	Yellow
*מבצע* גאודה עם פטרי	120.0	Yohananof
*מבצע* גבינת גאודה ב	120.0	Yellow
*מבצע* גבינת גאודה ב	120.0	Yohananof
*מבצע* גבינת גאודה ע	120.0	Yellow
*מבצע* גבינת גאודה ע	120.0	Yohananof
*מבצע* גבינת לבאנה 5	40.0	Rami Levi
*מבצע* גבינת לבאנה 5	52.0	Shufersal
*מבצע* גבינת לבאנה 5	40.0	Yellow
*מבצע* גבינת לבאנה 5	40.0	Yohananof
*מבצע* גבינת נעם 9%	73.0	Rami Levi
*מבצע* גבינת נעם 9%	85.0	Shufersal
*מבצע* גבינת נעם 9%	107.0	Tiv Taam
*מבצע* גבינת נעם 9%	75.0	Yellow
*מבצע* גבינת נעם 9%	75.0	Yohananof
*מבצע* גלידת שמנת מו	24.9	Yellow
*מבצע* גלידת שמנת מו	24.9	Yohananof
*מבצע* גלידת שמנת מו	29.9	city market
*מבצע* גליל נייר מוד	11.9	Yellow
*מבצע* גליל נייר מוד	11.9	Yohananof
*מבצע* גרעיני חמנייה	13.9	Yellow
*מבצע* גרעיני חמנייה	13.9	Yohananof
*מבצע* גרעיני תירס ש	9.9	Yellow
*מבצע* גרעיני תירס ש	9.9	Yohananof
*מבצע* גרעיני תירס ש	9.9	city market
