item_name	itemprice
"""סנקי"" חטיף תירס מקלות מתוקים 80 גרם"	5.0
*מבצע* גבינת לבאנה 5	40.0
*מבצע* גבינת נעם 9%	73.0
*מבצע* לביבות ברוקול	24.9
*מבצע* שניצל עוף פרו	39.9
1.2  מסקרפונה עם קרמל מלוח	25.9
1.2 מסקרפונה עם עוגיות  ונטיפי שוקולד חלב	25.9
1.8%שומן  NOT MILK א	13.9
1ליטרPrimavena - משק	13.9
200  גרםvalio-חמאה	16.9
250 אריסה מתוקה ביטו	15.7
3.5%שומן  NOT MILK א	13.9
439גרם  CHI-CHISמטבל	19.1
50 להבונים בשקית	8.9
"A.R מטרנה בד""ץ 700 גרם"	72.9
BIO משקה סויה עם תות	6.3
BLU  משקה אנרגיה פחי	3.9
BLU משקה אנרגיה ענבי	3.9
BREEZE תחבושות אקסטרה 10 יח	14.9
BREEZE תחבושות אקסטרה פלוס 8 יח	14.9
BREEZE תחבושות מקסי 8 יח	14.9
BREEZE תחבושות נורמל 12 יח	14.9
CHI-CHIS מטבל סלסה ב	19.1
Deliceגבינת קממבר יו	19.9
Dחלב 3% מועשר וויטמי	8.6
ELVIVE שמפו מטהר לשו	18.5
ELVIVE שמפו משקם לשי	18.5
FUZE-T בטעם פירות יער ונענע זירו 1.5 ליטר	8.6
FUZE-T בטעם תפוח וקינמון 1.5 ליטר	8.6
FUZE-T לימון נענע 1.5 ליטר	8.6
FUZE-T ענבים 1.5 ליטר	8.6
Fun Waterשוופס  אפרס	5.0
GO  משקה חלבון מלון	11.9
GO יוגורט אוורירי בט	6.0
GO יוגורט יופלה תות	6.1
GOיוגורט יופלה  פירו	6.1
GOיוגורט סמיך 0.4% ק	6.4
GOמעדן חלב בטעם קרמל	5.2
Go משקה חלב וניל 340	8.2
"ICE נמס וניל 250 מ""ל"	6.9
"ICE נמס קלאסי 250 מ"""	6.9
JIF חמאת בוטנים 454	20.9
"K-333 קוטל חרקים 750 מ""ל"	26.9
"K500 קוטל חרקים 400 מ""ל"	19.9
KH-סופר  נוסחה חדשני	19.9
KHסופר קלינר -7 למטב	14.9
"NO""1 מנקה אסלות"	5.9
Nocciolata  ממרח אגו	22.9
ONE כלב מידמקסי בקר	79.9
PAM תרסיס שמן זית 14	16.9
PAM תרסיס שמן קנולה	16.9
POST דגני פרוטי פבלס	22.1
POST דגני רייזן ברן	23.1
PRO לחם אנגל 500 גרם	21.9
RC קולה שישיית   1.5 ליטר	26.8
SERA חציל קלוי על הא	13.5
TNX מרסס חלונות פרש	12.9
TNX מרסס מנקה ריפודי	24.9
TNX נייר אפיה בגליל  20 מטר	19.9
TNX תרסיס לניקוי חלו	19.9
TODAY חטיף חלבון קרם	12.8
Tilda   אורז פרסי טי	15.1
ULTRA משקה אנרגיה מו	6.9
Ultra Gold Zמשקה אנר	7.0
XL TEN משקה אנרגיה ב	4.2
"XL פחית 250 מ""ל"	4.2
XL פחית אפרסק משמש 2	4.2
XL פחית מנגו אננס 25	4.2
YOLO מעדן שוקולד חלב	5.2
YOLO מעדן שוקולד לבן	5.2
YOLO מעדן שוקולד מרי	5.2
YOLO מעדן שכבות שוקו	5.2
ZERO ספרייט 1.5 ליטר	8.2
ZERO פיוז טי אפרסק 1	8.6
ZERO פיוז טי גרין לי	8.6
ZERO קולה שישייה 1.5 ליטר	45.9
"א'גקס טריגר מוס מולטי פאוור 500 מ""ל"	13.9
"א'גקס טריגר מוס נגד אבנית 500 מ""ל"	13.9
"א'גקס ספריי עוצמת ה7 טריגר אקונומיקה 500 מ""ל"	13.9
א.ש. חטיף לבבות עוף	29.9
א.ש. חטיפים פונקציונ	69.9
א.ש. שקיות איסוף צוא	20.2
אבקה להכנת משקה בטעם קפה	29.2
אבקה למניעת אבנית 1קג - קלגון	29.9
אבקה לניקוי ריח לימו	9.9
אבקת אפיה	2.7
אבקת הלבנה רן 350 גר	17.9
"אבקת כביסה 2.5 ק""ג - קולון 101"	25.0
"אבקת כביסה 8 ק""ג קולון 101"	58.9
אבקת כביסה אריאל קול	39.9
"אבקת כביסה מקסימה סנסטיב 6 ק""ג"	49.8
אבקת מרק בצל אסם רכיבים טבעיים 400ג'	19.9
אבקת מרק טעם עוף דגש	22.9
אבקת מרק פטריות אסם רכיבים טבעיים 400ג'	21.9
אבקת קקאו עלית 150 ג	13.9
אג'קס חגיגת הפרחים יסמין 1.5 ליטר	19.9
אג'קס פרחים אדום 1.5 ליטר	19.9
אג'קס פרחים ירוק 1.5 ליטר	19.9
אגו מיקס בייגלה מצופה שוקולד לבן	5.3
אגו מיקס כדורי תירס מצופים שוקולד חלב	5.3
אגוזי לוז מסוכרים מי	13.9
אדום חצי יבש אימפרשן	49.4
אובלטים אורגנים מקמח	12.9
אובלטים עם קימל 300	12.9
אובלטים קימל 225 גרם	11.8
אוונט מוצצי אייר קול	40.4
אול אין ח.חלבון סופט	13.9
אול אין חטיף חלבו בט	13.9
אול אין חטיף חלבון ד	13.9
אול אין חטיף חלבון ו	13.9
אול אין חטיף חלבון ק	13.9
אול אין חטיף חלבון ש	13.9
אולוויז  68 יחידות מגה פק	18.9
אולוויז  80 יחידות מגה פק	18.9
אולוויז מגה פק לארג' פרש 64יח'	18.9
אולוויז מגה פק נורמל פרש 76יח'	18.9
אולוויז מגני תחתון ל	18.9
אולוויז מגני תחתון נ	18.9
אולוויז קואטרו 40 יחידות לילה	34.9
אולוויז קואטרו 48 יחידות לונג +	34.9
אולוויז קואטרו לילה אקסטרה 32 יח'	34.9
אולוויז תחבושות פלטי	19.1
אולטרא פט מעדן בקר ל	5.9
אולטרא פט מעדן ברווז	5.9
אולטרא פט מעדן עוף ל	5.9
אולטרסול 50/200 תרסי	44.9
אולטרסול קידס ספריי	44.9
"אולטרסול תחליבי 250 מ""ל 50"	44.9
"אולטרסול תחליבי קידס 250 מ""ל 50"	44.9
"אוקסיג'ן מסיר כתמים לבן אבקה 1.4 ק""ג"	28.9
"אוקסיג'ן מסיר כתמים צבעוני אבקה 1.4 ק""ג"	28.9
אוראו גולדן 154 גר	9.9
אוראו וניל 176 גרם ב	11.9
אורביט פרופשיונל ספי	10.7
אורביט פרופשיונל פפר	10.7
אורביט פרפשיונל  מינטס פירות יער	9.8
אורביט רפרשרס אבטיח	12.1
אורביטול מי-פה	19.9
אורז אדום סוגת  500	9.0
אורז אוסטרלי עגול 1ק	11.7
"אורז בסמטי 1 ק""ג שקדיה"	11.9
"אורז בסמטי ארוך 1 ק"""	15.1
אורז בסמטי טילדה 1	19.8
"אורז בסמטי מאסטר שף 1 ק""ג"	12.9
"אורז בסמטי מובחר 5 ק""ג"	58.9
אורז בסמטי מובחר דאו	13.7
אורז בסמטי מלא 500 ג	13.1
אורז בסמטי מלא סוגת	14.9
אורז בסמטי קלאסי סוג	14.6
"אורז יסמין סוגת 1 ק"""	11.4
אורז לסושי קושיהיקאר	14.9
אורז מלא אחד אחד סוג	8.9
"אורז סושי 1 ק""ג סוגת"	12.0
"אורז עגול קלרוז 1 ק"""	11.4
"אורז פרסי DAAWAT 1 ק""ג"	9.9
אורז פרסי אחד אחד סו	11.7
אורז ריזוטו סוגת 500	9.0
אורז ריזוטו עגול סוג	11.9
"אורז תאילנדי 1 ק""ג"	7.9
אטריות אורז דקות 454	9.9
אטריות ביצים 300 ג'	7.8
אטריות בצורת מקלונים ללא גלוטן 340 גר' GFREE	13.9
אטריות דקות REGGIA	7.8
אטריות טריות דקות מז	6.8
אטריות טריות עבות מז	6.8
אטריות מקרוני עם גבי	10.9
אטריות נאמה אודון 20	6.8
אטריות צבעוניות לקיש	12.4
