item_name	itemprice
'פקאן טבעי במשקל תפז	119.0
*מבצע* גבינת לבאנה 5	52.0
*מבצע* גבינת נעם 9%	85.0
1.2  מסקרפונה עם קרמל מלוח	26.9
1.2 מסקרפונה עם עוגיות  ונטיפי שוקולד חלב	26.9
1.8%שומן  NOT MILK א	15.9
100 קיסמי שיניים עם חוט	15.9
20 תחבושות לילי ללילה	16.9
200  גרםvalio-חמאה	16.9
24 תחבושות לילי נורמל+	16.9
250 אריסה מתוקה ביטו	16.5
3.5%שומן  NOT MILK א	15.9
32 טמפוני קוטקס סופר	26.5
4 מיני אייס דרים קפה200	21.9
439גרם  CHI-CHISמטבל	21.9
46טיטולים פרימיום שלב 3	29.9
52מגן תחתון קוטקס L	22.5
"A.R מטרנה בד""ץ 700 גרם"	79.9
ACTIVE PUREג'ל ניקוי150מ	36.9
ARGANIA שמפו קיק ללא	29.9
Aussie Lemonadeמשקה	8.9
B&D חמאת בוטנים טבעי	15.9
BLU  משקה אנרגיה פחי	4.5
BLU משקה אנרגיה דיי	4.5
BREEZE תחבושות מקסי 8 יח	19.5
BREEZE תחבושות נורמל 12 יח	19.5
CHI-CHIS מטבל סלסה ב	21.9
Dחלב 3% מועשר וויטמי	8.9
ELVIVE שמפו מטהר לשו	19.9
ELVIVE שמפו משקם לשי	19.9
FUZE-T בטעם תפוח וקינמון 1.5 ליטר	8.9
FUZE-T לימון נענע 1.5 ליטר	8.9
FUZE-T ענבים 1.5 ליטר	8.9
GO  משקה חלבון מלון	14.1
GO יוגורט אוורירי בט	6.7
GO יוגורט יופלה תות	6.8
GOיוגורט יופלה  פירו	6.8
GOיוגורט סמיך 0.4% ק	6.7
GOמעדן חלב בטעם קרמל	6.3
Go משקה חלב וניל 340	8.9
K-300 קוטל חרקים מיידי ומתמשך	15.9
KH-סופר  נוסחה חדשני	21.9
KHסופר קלינר -7 למטב	17.9
MB מסיכה לשיער יסמין250מ	27.5
MB מרכך לשיער רגיל לברק	24.5
"MB שמפו לשיער SM 500 מ""ל"	24.5
MBתחליב רחצה סחלבים600מ	15.5
"NO""1 מנקה אסלות"	7.9
ONE כלב מידמקסי בקר	89.9
PAM תרסיס שמן זית 14	15.9
PAM תרסיס שמן קנולה	15.9
POST דגני פרוטי פבלס	23.9
PRO לחם אנגל 500 גרם	21.9
SERA חציל קלוי על הא	13.9
TNX מרסס חלונות פרש	13.9
TNX מרסס מנקה ריפודי	25.9
TNX נייר אפיה בגליל  20 מטר	24.9
TNX תבנית גסטרונום ביתי 2 יחידות	15.9
TNX תבנית חלה 4 יחידות	15.9
TNX תבנית עוגה 4 יחידות	15.9
TODAY חטיף חלבון פאי	14.5
ULTRA משקה אנרגיה מו	8.9
Ultra Gold Zמשקה אנר	8.9
"XL פחית 250 מ""ל"	5.0
XL פחית אפרסק משמש 2	5.0
XL פחית מנגו אננס 25	5.0
YOLO מעדן שוקולד חלב	5.9
YOLO מעדן שוקולד לבן	5.9
YOLO מעדן שוקולד מרי	5.9
YOLO מעדן שכבות שוקו	5.9
ZERO ספרייט 1.5 ליטר	8.5
ZERO פיוז טי אפרסק 1	8.9
ZERO פיוז טי גרין לי	8.9
ZERO קולה שישייה 1.5 ליטר	45.9
win חטיף חלבון קרם ח	15.5
win חטיף חלבון קרם ק	15.5
אבוקדו ארוז בשל	7.9
אבקה להכנת משקה בטעם קפה	29.9
אבקה להכנת משקה בטעם קרמל	29.9
אבקה למניעת אבנית 1קג - קלגון	29.9
אבקת אפייה עשיריות	3.0
אבקת הלבנה רן 350 גר	22.9
"אבקת כביסה מקסימה     2.5 ק""ג מאסק"	26.9
"אבקת כביסה מקסימה 2.5 ק""ג"	26.9
"אבקת כביסה מקסימה 6 ק""ג"	49.9
אבקת כביסה מקסימה סנ	26.9
"אבקת כביסה מקסימה סנסטיב 6 ק""ג"	49.9
"אבקת כביסה קולון  5 ק""ג"	44.9
אבקת מרק בצל אסם רכיבים טבעיים 400ג'	22.9
אבקת מרק טעם עוף דגש	25.9
