item_name	itemprice
"""סנקי"" חטיף תירס מקלות מתוקים 80 גרם"	5.7
'כוס קריסטל יהלום 50	12.9
'כפות שקופות 50יח	15.5
'כפיות שקוף עבה 50יח	15.5
*מבצע* גבינת נעם 9%	107.0
1.2  מסקרפונה עם קרמל מלוח	28.9
1.2 מסקרפונה עם תות ונטיפי שוקולד חלב	28.9
100 קיסמי שיניים עם חוט	13.5
1ליטרPrimavena - משק	15.9
200  גרםvalio-חמאה	16.9
3 מברשות שיניים אורל בי קלאסיק.	14.8
32 טמפוני קוטקס סופר	34.9
4 מיני אייס דרים קפה200	22.9
4 סכיני גילוח ג'ילט פיוזן	82.9
439גרם  CHI-CHISמטבל	25.9
52מגן תחתון קוטקס L	27.9
7 תבניות אלומיניום אינגלישקייק EXTRA חזקות	12.5
750 מלINSPIRE  יין ק	77.9
Aussie Lemonadeמשקה	8.9
B&D חמאת בוטנים טבעי	15.9
BIO כביסכל אלגנס 2 ליטר	44.9
BIOכביסכל 2 ליטר ביי	44.9
BLU  משקה אנרגיה פחי	4.5
BLU משקה אנרגיה דיי	4.5
BLU משקה אנרגיה ענבי	4.5
CHI-CHIS מטבל סלסה ב	25.9
"DAY TO DAY מחבת סגול 24 ס""מ 1/6"	84.9
Deliceגבינת קממבר יו	24.9
ELVIVE שמפו מטהר לשו	20.9
"FUZE- T בטעם ZERO אפרסק 500 מ""ל"	7.5
FUZE-T בטעם פירות יער ונענע זירו 1.5 ליטר	7.9
FUZE-T בטעם תפוח וקינמון 1.5 ליטר	7.9
FUZE-T לימון נענע 1.5 ליטר	7.9
FUZE-T ענבים 1.5 ליטר	7.9
GO יוגורט יופלה תות	6.8
GOיוגורט יופלה  פירו	6.8
GOיוגורט סמיך 0.4% ק	6.7
GOמעדן חלב בטעם קרמל	6.7
Go משקה חלב וניל 340	10.7
HP ברביקיו דבש	21.9
"ICE נמס וניל 250 מ""ל"	9.9
"ICE נמס קלאסי 250 מ"""	9.9
"IMPRESSION בלנד לבן 150 שנה 750 מ""ל"	49.9
"IMPRESSION פטיט סירה 150 שנה 750 מ""ל"	49.9
IPA בירה שפירא 330 מ	14.5
IPA פחית בירה מלכה ה	15.9
JIF חמאת בוטנים 454	22.9
"K רב קוטל חרקים 500 מ""ל"	27.9
K-300 קוטל חרקים מיידי ומתמשך	14.9
"K-333 קוטל חרקים 750 מ""ל"	41.9
K-400 קוטל חרקים קטן	14.9
"K500 קוטל חרקים 400 מ""ל"	27.9
KH-סופר  נוסחה חדשני	26.9
L כפפות ניטריל שחור טאצ	22.9
L כפפות ניטריל שחורות 80 יחידות	34.9
L כפפות ניטריל שחורות פארמה אייד 100 יח	22.9
M כפפות ניטריל שחור טאצ	22.9
"NM מי סודה 250 מ""ל"	4.0
Nadias  שניצל אפונה	24.9
OZ 4 כוסות- קרטון	7.5
PAM תרסיס שמן זית 14	22.9
PAM תרסיס שמן קנולה	22.9
"PHARMAX קרם חמצן 9% 60 מ""ל"	6.9
POST דגני רייזן ברן	28.9
SERA חציל קלוי על הא	13.9
TEREA אמבר חפיסה	38.0
TEREA ברונז חפיסה	38.0
TEREA סגול חפיסה	38.0
TEREA סיינה חפיסה	38.0
TNX מרסס חלונות פרש	13.9
TODAY חטיף חלבון פאי	15.5
TODAY חטיף חלבון קרם	15.5
Tilda   אורז פרסי טי	15.9
ULTRA משקה אנרגיה מו	8.9
Ultra Gold Zמשקה אנר	8.9
"V.S הנסי 700 מ""ל באריזת מתנה"	149.9
XL TEN משקה אנרגיה ב	4.9
"XL פחית 250 מ""ל"	4.9
XL פחית אפרסק משמש 2	4.9
XL פחית מנגו אננס 25	4.9
XXL ניקול שקיות אשפה עם ידיות 30 יחידות	28.9
YOLO מעדן שוקולד חלב	5.9
YOLO מעדן שוקולד לבן	5.9
YOLO מעדן שכבות שוקו	5.9
YUKKI גלידה קרם ברולה פלומביר בכוס 70ג	8.9
ZERO פיוז טי אפרסק 1	7.9
ZERO קולה שישייה 1.5 ליטר	45.9
"fit סבון כלים חזק לשומנים 750 מ""ל"	14.9
voss petמים טבעיים 5	9.9
א'גקס ספריי לניקוי כללי	17.9
"א'גקס ספריי עוצמת ה7 טריגר אקונומיקה 500 מ""ל"	18.5
א.פרש מי פה	21.9
א.ש. חטיפים פונקציונ	69.9
אב.כביסה פרסיל סופרה	14.5
אבוקדו ארוז בשל	18.9
אביזרי מטבח	9.9
אבקה להכנת משקה בטעם קפה	32.9
אבקה להכנת משקה בטעם קרמל	30.9
אבקה למניעת אבנית 1קג - קלגון	38.9
אבקה לניקוי ריח לימו	12.9
אבקת אפיה	3.5
אבקת אפיה 10 יח'	3.1
אבקת אפייה	2.9
אבקת הלבנה רן 350 גר	30.9
אבקת וואסבי 35 גרם קינגדאוו	16.5
"אבקת כביסה 2.5 ק""ג - קולון 101"	34.9
"אבקת כביסה מקסימה     2.5 ק""ג מאסק"	33.9
"אבקת כביסה מקסימה 2.5 ק""ג"	33.9
"אבקת כביסה מקסימה 3.250 ק""ג בייבי"	43.9
אבקת כביסה מקסימה סנ	33.9
"אבקת כביסה מקסימה סנסטיב 1.25 ק""ג"	17.5
אבקת כביסה פרסיל קול	14.5
"אבקת כביסה פרסיל קולור 2.5 ק""ג"	33.9
"אבקת כביסה קולון  5 ק""ג"	53.9
אבקת כביסה קומפקט מק	17.5
אבקת סוכר 100 גרם	2.6
