item_name	itemprice
"""סנקי"" חטיף תירס מקלות מתוקים 80 גרם"	4.9
'כפות שקופות 50יח	10.0
'כפיות שקוף עבה 50יח	10.0
'פקאן טבעי במשקל תפז	119.0
*מבצע* 5% ג. שמנת טב	32.0
*מבצע* אורז בסמטי גו	36.9
*מבצע* אפונה וגזר יו	7.9
*מבצע* אפונה עדינה 6	7.9
*מבצע* במיה 600 גרם	7.9
*מבצע* ג. שמנת  שמיר	32.0
*מבצע* ג. שמנת זיתים	32.0
*מבצע* גאודה עם פטרי	120.0
*מבצע* גבינת גאודה ב	120.0
*מבצע* גבינת גאודה ע	120.0
*מבצע* גבינת לבאנה 5	40.0
*מבצע* גבינת נעם 9%	75.0
*מבצע* גלידת שמנת מו	24.9
*מבצע* גליל נייר מוד	11.9
*מבצע* גרעיני חמנייה	13.9
*מבצע* גרעיני תירס ש	9.9
*מבצע* טבורוג 5%	30.0
*מבצע* טחינה גולמית	18.9
*מבצע* כוסות ליין 50	2.9
*מבצע* לביבות ברוקול	30.2
*מבצע* מטחנת מלח  אק	11.9
*מבצע* מפיות אירוח ל	7.9
*מבצע* מפת ניילון  ב	27.9
*מבצע* סרוולט הונגרי	28.9
*מבצע* פילה הרינג לב	50.0
*מבצע* שימורי טונה ב	14.9
*מבצע* שלישיית מנורו	21.9
*מבצע* שניצל טבע 1 ק	31.9
*מבצע* שעועית ירוקה	7.9
*מבצע* שקדי מרק 220	12.9
*מבצע* תמרים מרוסקים	7.9
1.2  מסקרפונה עם קרמל מלוח	26.9
1.8%שומן  NOT MILK א	14.0
10 פיתות מקמח כוסמין	12.9
100 כפית	7.9
100 קיסמי שיניים עם חוט	15.0
20 תחבושות לילי ללילה	16.0
200  גרםvalio-חמאה	16.9
24 תחבושות לילי נורמל+	16.0
24K יין בלו נאן רוזה	54.9
3.5%שומן  NOT MILK א	14.0
32 טמפוני קוטקס סופר	24.1
439גרם  CHI-CHISמטבל	14.9
52מגן תחתון קוטקס L	18.1
Aussie Lemonadeמשקה	8.4
B&D חמאת בוטנים טבעי	14.0
BIO כביסכל אלגנס 2 ליטר	40.2
BIOכביסכל 2 ליטר ביי	40.2
BLU  משקה אנרגיה פחי	3.9
BLU משקה אנרגיה ענבי	4.2
BREEZE תחבושות נורמל 12 יח	15.0
CHI-CHIS מטבל סלסה ב	14.9
CHIPS  וופל ציפס קרי	15.9
Dחלב 3% מועשר וויטמי	8.9
ELVIVE שמפו מטהר לשו	18.9
FUZE-T בטעם תפוח וקינמון 1.5 ליטר	8.6
FUZE-T לימון נענע 1.5 ליטר	8.6
FUZE-T ענבים 1.5 ליטר	8.6
GO  משקה חלבון מלון	12.2
GO יוגורט יופלה תות	6.1
GOיוגורט יופלה  פירו	6.1
GOיוגורט סמיך 0.4% ק	6.5
GOמעדן חלב בטעם קרמל	5.3
"ICE נמס וניל 250 מ""ל"	7.9
"ICE נמס קלאסי 250 מ"""	7.9
"IMPRESSION בלנד לבן 150 שנה 750 מ""ל"	50.3
"IMPRESSION פטיט סירה 150 שנה 750 מ""ל"	50.3
"K רב קוטל חרקים 500 מ""ל"	19.9
K-400 קוטל חרקים קטן	11.9
KH-סופר  נוסחה חדשני	20.1
KHסופר קלינר -7 למטב	11.9
MB מסיכה לשיער יסמין250מ	26.9
MUTTIרוטב לפסטה מעגב	14.9
"NO""1 מנקה אסלות"	6.0
PAM תרסיס שמן זית 14	14.9
PAM תרסיס שמן קנולה	14.9
POST דגני פרוטי פבלס	14.9
PRO לחם אנגל 500 גרם	21.9
SERA חציל קלוי על הא	13.9
TNX מרסס מנקה ריפודי	24.9
TODAY חטיף חלבון קרם	13.0
ULTRA משקה אנרגיה מו	8.4
Ultra Gold Zמשקה אנר	8.4
WOKרוטב צילי  מתוק ד	12.9
XL TEN משקה אנרגיה ב	4.5
"XL פחית 250 מ""ל"	4.5
YOLO מעדן שוקולד חלב	5.3
YOLO מעדן שוקולד לבן	5.3
YOLO מעדן שכבות שוקו	5.3
ZERO ספרייט 1.5 ליטר	8.2
ZERO פיוז טי אפרסק 1	8.6
ZERO קולה שישייה 1.5 ליטר	45.9
"fit סבון כלים חזק לשומנים 750 מ""ל"	12.9
tea ספרינג בטעם אפרס	4.9
א.פרש מי פה	20.1
אבוקדו ארוז בשל	11.9
אבטיח שלם	2.9
אבקה להכנת משקה בטעם	12.9
אבקה למניעת אבנית 1קג - קלגון	30.2
אבקה לניקוי ריח לימו	9.9
אבקת אפיה	2.7
אבקת אפיה 10 יח'	2.5
אבקת אפייה עשיריות	1.9
"אבקת כביסה 8 ק""ג קולון 101"	60.4
אבקת כביסה יוחננוף 7	39.9
"אבקת כביסה מקסימה 1.25 ק""ג"	13.9
אבקת כביסה קומפקט מק	13.9
אבקת מרק בצל אסם רכיבים טבעיים 400ג'	24.1
אבקת מרק פטריות אסם רכיבים טבעיים 400ג'	24.1
אבקת סוכר 100 גרם	1.9
אבקת סוכר במיכל פיזור	12.9
אבקת קארי 80 גרם	6.0
אבקת קקאו יוחננוף 15	12.9
אבקת קקאו עלית 150 ג	13.9
אבקת שום 120 גרם	13.0
אבקת שום 80 גרם	6.0
אג'קס פרחים ורוד 1.5 ליטר	20.1
אג'קס פרחים ירוק 1.5 ליטר	20.1
אגו מיקס כדורי תירס מצופים שוקולד חלב	5.5
אגוז מוסקט טחון 50 ג	6.0
אגוז מוסקט טחון 80 ג	13.0
אגוז מלך גרוסים 100גרם	12.0
אגוז מלך קלוף מימונס	14.0
אגוז קשיו טבעי	85.0
אגוזי 45 גרם	4.5
אגוזי קשיו מטוגנים ק	18.1
אגוזי קשיו קלויים קל	18.1
אגוזים קלופים	78.0
אגס  אדום	14.9
אגקס לניקוי חלונות ט	15.0
אגרול סיני 400 גרם.	16.0
אדום חצי יבש אימפרשן	50.3
אדממה פולי סויה מוקפאים 450 גרם	9.9
