item_name	itemprice
'כפות שקופות 50יח	10.0
'כפיות שקוף עבה 50יח	10.0
*מבצע* 5% ג. שמנת טב	32.0
*מבצע* אטריות עם תרד	9.9
*מבצע* אפונה וגזר יו	7.9
*מבצע* אפונה עדינה 6	7.9
*מבצע* במיה 600 גרם	7.9
*מבצע* ג. שמנת  שמיר	32.0
*מבצע* ג. שמנת זיתים	32.0
*מבצע* גאודה עם פטרי	120.0
*מבצע* גבינת גאודה ב	120.0
*מבצע* גבינת גאודה ע	120.0
*מבצע* גבינת לבאנה 5	40.0
*מבצע* גבינת נעם 9%	75.0
*מבצע* גלידת שמנת מו	24.9
*מבצע* גליל נייר מוד	11.9
*מבצע* גרעיני חמנייה	13.9
*מבצע* גרעיני תירס ש	9.9
*מבצע* דפי אורז 400	9.9
*מבצע* טבורוג 5%	30.0
*מבצע* כוסות ליין 50	2.9
*מבצע* מטחנת מלח  אק	11.9
*מבצע* מפיות אירוח ל	7.9
*מבצע* מפת ניילון  ב	24.9
*מבצע* סרוולט הונגרי	28.9
*מבצע* פילה הרינג לב	50.0
*מבצע* שימורי טונה ב	14.9
*מבצע* שלישיית מנורו	21.9
*מבצע* שניצל טבע 1 ק	31.9
*מבצע* שעועית ירוקה	7.9
*מבצע* שקדי מרק 220	12.9
*מבצע* תמרים מרוסקים	7.9
1.8%שומן  NOT MILK א	14.0
10 פיתות מקמח כוסמין	12.9
100 כפית	7.9
100 קיסמי שיניים עם חוט	15.0
1ליטרPrimavena - משק	15.0
20 תחבושות לילי ללילה	16.0
200  גרםvalio-חמאה	16.9
24 תחבושות לילי נורמל+	16.0
250 אריסה מתוקה ביטו	15.9
3.5%שומן  NOT MILK א	14.0
32 טמפוני קוטקס סופר	24.1
4 סכיני גילוח ג'ילט פיוזן	60.4
52מגן תחתון קוטקס L	18.1
6 חליות במתיקות מעוד	16.9
ACTIVE PUREג'ל ניקוי150מ	32.9
ARGANIA מסיכה לשיער	40.2
ARGANIA שמפו קיק ללא	30.2
Aussie Lemonadeמשקה	8.4
B&D חמאת בוטנים טבעי	14.0
BIO כביסכל אלגנס 2 ליטר	40.2
BIOכביסכל 2 ליטר ביי	40.2
BLU  משקה אנרגיה פחי	3.9
BREEZE תחבושות אקסטרה פלוס 8 יח	15.0
BREEZE תחבושות נורמל 12 יח	15.0
CHIPS  וופל ציפס קרי	15.9
ELVIVE שמפו מטהר לשו	18.9
FUZE-T בטעם תפוח וקינמון 1.5 ליטר	8.6
